date,ticker,embed_pca16_00,embed_pca16_01,embed_pca16_02,embed_pca16_03,embed_pca16_04,embed_pca16_05,embed_pca16_06,embed_pca16_07,embed_pca16_08,embed_pca16_09,embed_pca16_10,embed_pca16_11,embed_pca16_12,embed_pca16_13,embed_pca16_14,embed_pca16_15
2025-09-18,MSFT,0.273542,0.32558826,-0.24019529,-0.10281143,-0.25828433,-0.049876202,-0.10626238,-0.06189963,-0.095385894,0.06682008,0.0075712674,0.050904915,-0.016439874,-0.10383196,0.15672125,0.074374
2025-09-18,MSFT,0.110716015,0.13655604,-0.16208719,-0.21373425,-0.09290412,0.038808383,-0.01009226,0.27751976,-0.18904601,0.24294193,-0.09600439,0.0061888965,-0.03196324,0.12243234,-0.05019384,0.07273153
2025-09-18,MSFT,0.11445336,0.14480555,-0.102750465,-2.1049336e-05,-0.03833447,-0.0148086175,-0.09688743,0.2742165,-0.11809311,0.03352817,-0.32584068,-0.022108585,-0.07865545,-0.0677238,0.16929166,0.08249776
2025-09-22,MSFT,-0.083345376,0.13385515,-0.06405215,-0.16645911,-0.05753008,0.017696649,-0.034346938,0.30753544,-0.05487924,0.22063375,-0.12316516,0.09358137,0.14180744,-0.068113714,-0.13684893,-0.012975446
2025-09-22,MSFT,-0.16218942,0.17720439,-0.20272452,-0.17672315,-0.02630304,-0.013665558,0.075148515,0.19245562,-0.24417774,0.069503255,-0.1625311,0.123318255,-0.039890658,0.13006043,0.09270072,-0.022797056
2025-09-22,MSFT,0.16849494,0.15117967,-0.18797992,-0.0022189585,0.056693465,0.0020304236,-0.14076406,0.19367853,-0.0674248,-0.012756092,-0.22868703,0.020912737,-0.07802183,-0.11029093,0.2401116,0.054256942
2025-09-22,MSFT,0.29619423,0.072316706,-0.36285898,-0.115607634,-0.1641653,0.012424738,-0.047365367,0.025637984,-0.16725142,0.19520381,0.09819432,-0.09907881,0.1672064,0.10258403,0.0472208,0.09068652
2025-09-23,MSFT,-0.19785829,0.19410832,-0.05857188,-0.23411147,-0.0843817,0.08640197,0.043956865,0.23582608,-0.12417389,0.28958687,-0.24771604,0.02451155,0.016026095,0.05163196,-0.045598075,0.11397157
2025-09-23,MSFT,0.20381217,0.34616598,-0.20693062,-0.08393594,-0.11115579,-0.2117137,-0.00069322524,-0.06790218,-0.13620776,-0.093589075,0.12697907,0.07124388,-0.18887974,-0.02706506,0.059840087,-0.03616073
2025-09-24,MSFT,0.13718764,0.36760697,-0.1761361,-0.010438731,-0.08040995,-0.26376128,-0.056468986,-0.109207496,-0.17323746,-0.13262242,0.1620828,0.060983505,-0.040600926,-0.08219744,0.15636884,-0.03228223
2025-09-24,MSFT,0.43407246,0.12785237,-0.16220368,-0.19338542,-0.14436188,0.019219082,-0.18673289,0.15856242,-0.2014998,-0.02830346,-0.029736329,-0.07384549,0.11172092,0.033277616,-0.062716,0.03975437
2025-09-24,MSFT,0.24827889,0.1661151,-0.20490098,-0.18094504,-0.051055513,0.010714939,0.008277659,0.3040485,-0.10411383,0.047002736,-0.032518376,0.079038836,-0.0078121605,0.080335654,0.053607248,0.054045092
2025-09-24,MSFT,0.25070623,0.25269887,-0.16719796,-0.20443305,-0.19430402,0.08790824,-0.06065038,0.06416559,0.021454312,0.008522918,-0.08780991,0.029573452,-0.026497029,-0.18676,-0.116532214,-0.088003956
2025-09-25,MSFT,0.23282018,0.03543788,-0.011792053,-0.15296741,-0.14442484,-0.13559736,0.11045265,0.29728922,-0.25877786,-0.005883748,-0.14956339,0.11415918,0.13321827,0.030564409,-0.08310835,0.0014751563
2025-09-25,MSFT,0.26026234,0.14841066,-0.109802715,-0.13587089,-0.058398236,0.020202471,0.005442245,0.34871483,-0.10614554,-0.058518417,-0.18547943,-0.021827742,0.090385534,0.06448063,-0.16006157,-0.038251158
2025-09-25,MSFT,0.30712757,-0.0046299524,-0.06543952,-0.08187958,-0.19021213,0.013874771,0.021789676,0.3504146,-0.17827907,-0.050871518,-0.09684819,0.06334557,0.014958312,-0.057748366,-0.12923262,0.16322634
2025-09-25,MSFT,0.3493325,0.27575853,-0.2944862,-0.20471679,-0.20301645,-0.06957447,-0.13030268,0.024424322,-0.25634915,0.11364737,0.01672817,0.04808145,0.1374921,-0.011020125,0.077712625,-0.089035615
2025-09-25,MSFT,0.43836877,0.18111669,-0.22099625,-0.24561478,-0.20339821,0.032818183,-0.16235396,0.1710891,-0.14248534,0.01645961,0.016148774,0.107834816,0.005294424,0.056356102,-0.0881921,-0.08403517
2025-09-25,MSFT,0.15883398,0.16612418,-0.24392632,-0.2994571,-0.034116663,0.0907953,-0.07590046,0.044359516,0.0032506892,0.033083115,-0.06141102,0.0051091416,-0.03823472,-0.17686798,0.109221496,-0.009206625
